"ID" "species" "Height" "InflLgth" "NoHeads" "FlowHead" "ExtLgth" "ExtWidth" "IntLgth" "IntWidth" "ExtWidth_1" "ExtWidth_2" "Filaments" "AntherLgth" "FilamLgth" "ALtoFLratio" "CapsuleLgth" "CapsEndLgth" "CapsuleWidth" "CLtoPL"
"37" 37 "Juncus quartinianus" 14.2 3 5 11 3.45 0.2 3.1 0.9 0.61 0.2 5 0.93 0.96 0.97 3.9 0.55 1.57 1.15
"38" 38 "Juncus oxycarpus" 38.3 9.5 7 14 3.55 0.44 2.9 0.93 0.54 0.2 3 0.67 0.99 0.68 2.25 0.23 1.25 0.86
"39" 39 "Juncus oxycarpus" 57.1 13.5 14 25 4.3 0.35 3.9 0.93 0.54 0.49 3 0.96 1.02 0.94 3.4 0.38 1.41 0.79
"40" 40 "Juncus oxycarpus" 62.1 12.6 14 23 3.45 0.29 2.9 0.61 0.44 0.17 5 0.5 1.05 0.48 1.9 0.35 1.17 0.56
"41" 41 "Juncus oxycarpus" 42.5 2.7 2 25 3.05 0.29 3.05 0.9 0.52 0.29 3 0.61 1.14 0.54 2.35 0.3 1.28 0.77
"42" 42 "Juncus oxycarpus" 45.6 10.3 7 22 2.8 0.23 2.7 0.82 0.47 0.26 3 0.58 1.11 0.52 2.3 0.35 1.2 0.86
"43" 43 "Juncus oxycarpus" 42.5 7.1 5 13 3.1 0.17 2.8 0.82 0.52 0.17 3 0.55 0.96 0.57 2.2 0.25 1.31 0.71
"44" 44 "Juncus oxycarpus" 25.8 2.7 2 18 4.2 0.35 4.1 1.17 0.64 0.35 6 0.64 0.87 0.74 3.2 0.3 1.66 0.76
"45" 45 "Juncus oxycarpus" 23.1 5.6 3 34 4.1 0.26 4.1 1.11 0.58 0.49 3 0.58 1.25 0.67 3.2 0.5 1.28 0.86
"46" 46 "Juncus oxycarpus" 31.3 6.9 5 23 4.35 0.29 4.25 1.08 0.55 0.26 5 0.67 0.96 0.7 3.65 0.55 1.72 0.82
"47" 47 "Juncus oxycarpus" 40.1 8.2 8 15 4.3 0.3 4.25 1.01 0.51 0.28 6 0.69 1.06 0.65 4.5 0.5 1.48 0.94
"48" 48 "Juncus oxycarpus" 42 3 2 17 4.2 0.31 4.05 0.93 0.54 0.49 4 0.67 1.02 0.66 3.25 0.7 1.2 0.77
"49" 49 "Juncus oxycarpus" 39 9.1 7 30 3.5 0.35 3.85 1.14 0.54 0.38 4 0.7 0.93 0.75 3.65 0.55 1.66 0.95
"50" 50 "Juncus oxycarpus" 27.2 5.6 2 16 3.85 0.31 3.8 1.05 0.44 0.32 4 0.64 1.08 0.65 3.7 0.5 1.52 0.88
"51" 51 "Juncus oxycarpus" 42.5 8.1 5 32 4.7 0.35 3.85 1.02 0.55 0.26 3 0.7 1.14 0.61 3.85 0.4 1.57 1
"52" 52 "Juncus oxycarpus" 36.6 7.5 6 36 3.35 0.41 3.85 0.93 0.64 0.49 4 0.73 0.93 0.78 3.55 0.45 1.69 0.86
"53" 53 "Juncus oxycarpus" 27.5 4.2 4 34 3.8 0.38 3.9 1.08 0.61 0.35 3 0.73 0.99 0.74 3.5 0.4 1.63 0.9
"54" 54 "Juncus oxycarpus" 19.5 4.8 2 25 3.85 0.35 3.7 1.04 0.63 0.3 6 0.57 0.81 0.7 3.7 0.35 2.05 0.96
"55" 55 "Juncus oxycarpus" 29.5 5 3 34 4.45 0.39 4.6 1.17 0.6 0.28 4 0.65 0.84 0.77 3.7 0.11 1.1 0.8
"56" 56 "Juncus oxycarpus" 42.5 1.8 3 18 3.1 0.35 3.6 0.93 0.54 0.49 4 0.73 0.87 0.84 2.54 0.28 1.41 0.86
"57" 57 "Juncus oxycarpus" 26.8 3.9 5 30 3.25 0.39 3.4 1.11 0.68 0.28 4 0.66 0.81 0.81 2.54 0.28 1.41 0.86
"58" 58 "Juncus oxycarpus" 36.4 8.2 3 24 4.5 0.35 4.25 0.93 0.76 0.49 5 0.55 0.87 0.63 2.54 0.28 1.41 0.86
"59" 59 "Juncus oxycarpus" 65.8 9.9 8 27 3.8 0.35 3.85 1.11 0.58 0.35 3 0.7 0.99 0.71 3 0.25 1.25 0.78
"60" 60 "Juncus oxycarpus" 37.4 3.1 5 21 3.35 0.31 3.25 0.79 0.47 0.23 3 0.64 1.57 0.63 3.4 0.4 1.34 1.01
"61" 61 "Juncus oxycarpus" 26 6.9 5 25 4.3 0.31 3.7 0.93 0.54 0.49 3 0.87 1.43 0.65 3.5 0.29 1.81 0.86
"62" 62 "Juncus oxycarpus" 42.5 5.4 4 22 3.7 0.29 3.75 0.85 0.5 0.2 3 0.61 1.08 0.56 3.7 0.5 1.43 0.99
"63" 63 "Juncus oxycarpus" 32.4 4.2 4 19 4.4 0.44 4.3 0.93 0.5 0.23 3 0.76 1.22 0.62 2.54 0.28 1.41 0.86
"64" 64 "Juncus oxycarpus" 42.7 8.4 4 15 4.1 0.35 3.7 0.82 0.54 0.17 3 0.82 1.4 0.59 2.7 0.25 1.31 0.66
"65" 65 "Juncus oxycarpus" 32 3.2 4 22 3.9 0.38 4 1.14 0.58 0.35 3 0.58 0.93 0.62 3.85 0.45 1.66 0.96
"66" 66 "Juncus oxycarpus" 42.5 5 5 16 3.95 0.38 4.35 1.08 0.61 0.23 3 0.55 0.96 0.57 3.8 0.35 1.46 0.87
"67" 67 "Juncus oxycarpus" 58.5 14 12 17 3.8 0.32 3.6 0.73 0.44 0.23 3 0.73 1.2 0.61 3 0.4 1.66 0.85
"68" 68 "Juncus oxycarpus" 42.5 2.4 3 36 3.85 0.32 3.85 0.96 0.52 0.26 3 0.64 1.02 0.63 3.9 0.35 1.49 1.01
"69" 69 "Juncus oxycarpus" 32.4 5.4 7 21 4 0.35 4 1.22 0.7 0.32 3 0.7 1.08 0.67 4.1 0.25 1.66 1.04
"70" 70 "Juncus oxycarpus" 42.5 6.9 7 20 3.8 0.38 4.15 0.99 0.52 0.32 6 0.67 1.05 0.64 4.15 0.65 1.9 1
"71" 71 "Juncus oxycarpus" 42.5 7.4 8 16 4.05 0.26 4.2 1.31 0.79 0.29 4 0.7 0.99 0.71 3.95 0.4 1.78 0.94
"72" 72 "Juncus oxycarpus" 32.8 4.8 3 23 4.35 0.3 4.5 0.98 0.51 0.24 3 0.81 1.09 0.74 4.1 0.5 1.37 0.88
"73" 73 "Juncus oxycarpus" 36.9 4.1 5 16 3.35 0.26 3.75 0.9 0.47 0.29 5 0.73 1.11 0.66 3.75 0.4 1.66 1
"74" 74 "Juncus oxycarpus" 42.5 5.3 2 14 4 0.35 4.45 1.25 0.64 0.32 3 0.67 1.28 0.52 4.05 0.65 1.87 0.91
"75" 75 "Juncus oxycarpus" 53.6 4.1 3 26 3.25 0.23 3.95 1.08 0.47 0.35 4 0.55 1.31 0.42 3.55 0.45 1.43 0.9
"76" 76 "Juncus oxycarpus" 55.2 9 7 20 3.9 0.38 4 0.9 0.44 0.38 6 0.67 1.08 0.68 3.3 0.5 1.69 0.83
"77" 77 "Juncus oxycarpus" 16.2 1.4 2 23 4.05 0.41 4.05 1.05 0.64 0.32 4 0.38 1.17 0.32 3.35 0.4 1.34 0.84
"78" 78 "Juncus oxycarpus" 39 4.4 3 29 4.7 0.31 4.25 1.22 0.73 0.29 6 0.67 0.93 0.72 3.9 0.35 1.57 0.83
"79" 79 "Juncus oxycarpus" 32.6 4.7 3 24 4.25 0.38 4.1 0.99 0.61 0.32 6 0.61 1.2 0.54 3.6 0.35 1.41 0.86
"80" 80 "Juncus oxycarpus" 42.5 6.5 13 15 3.35 0.31 3.05 0.93 0.61 0.49 3 0.82 1.22 0.67 2.55 0.45 1.41 0.86
"81" 81 "Juncus oxycarpus" 42.5 10.4 4 21 4 0.32 4.1 1.02 0.64 0.26 6 0.76 0.93 0.82 3.65 0.35 1.43 0.89
"82" 82 "Juncus oxycarpus" 42.5 7.1 7 16 2.85 0.29 2.85 0.67 0.5 0.15 4 0.65 1.09 0.62 2.75 0.2 1.46 0.86
